sign_id,file_name,width_px,height_px,area_px
356,sign_356.png,41,48,674
357,sign_357.png,40,48,591
358,sign_358.png,36,48,531
359,sign_359.png,36,48,633
360,sign_360.png,48,43,579
361,sign_361.png,40,48,638
362,sign_362.png,36,48,547
363,sign_363.png,40,48,625
364,sign_364.png,48,45,791
365,sign_365.png,36,48,525
366,sign_366.png,33,48,521
367,sign_367.png,37,48,694
368,sign_368.png,36,48,605
369,sign_369.png,34,48,590
370,sign_370.png,44,48,746
371,sign_371.png,44,48,693
372,sign_372.png,45,48,755
373,sign_373.png,29,48,393
374,sign_374.png,29,48,644
375,sign_375.png,29,48,427
376,sign_376.png,35,48,480
377,sign_377.png,48,42,633
378,sign_378.png,31,48,482
379,sign_379.png,32,48,506
380,sign_380.png,30,48,812
381,sign_381.png,32,48,535
382,sign_382.png,30,48,490
383,sign_383.png,32,48,578
384,sign_384.png,34,48,840
385,sign_385.png,30,48,489
386,sign_386.png,31,48,407
387,sign_387.png,30,48,521
388,sign_388.png,38,48,690
389,sign_389.png,31,48,499
390,sign_390.png,40,48,746
391,sign_391.png,32,48,694
392,sign_392.png,48,40,948
393,sign_393.png,42,48,794
394,sign_394.png,25,48,364
395,sign_395.png,27,48,444
396,sign_396.png,20,48,324
397,sign_397.png,16,48,290
398,sign_398.png,21,48,382
399,sign_399.png,27,48,363
400,sign_400.png,26,48,414
401,sign_401.png,39,48,666
402,sign_402.png,25,48,357
403,sign_403.png,48,46,581
404,sign_404.png,48,37,608
405,sign_405.png,48,34,529
406,sign_406.png,46,48,833
407,sign_407.png,48,48,896
408,sign_408.png,48,34,415
409,sign_409.png,48,42,465
410,sign_410.png,16,48,390
411,sign_411.png,37,48,517
412,sign_412.png,25,48,424
413,sign_413.png,24,48,461
414,sign_414.png,14,48,369
415,sign_415.png,12,48,334
416,sign_416.png,36,48,585
417,sign_417.png,15,48,403
